color,analysis_type,segmentation_method,model,fold,train_items,train_positive,train_negative,test_items,test_positive,test_negative,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
淡紅,primary,tip_middle_root_1_2_2,CNN,1,186,29,157,43,19,24,0.627906976744186,0.7142857142857143,0.2631578947368421,0.38461538461538464,0.5899122807017544,22,2,14,5
淡紅,primary,tip_middle_root_1_2_2,CNN,2,175,18,157,30,8,22,0.5666666666666667,0.2727272727272727,0.375,0.3157894736842105,0.5056818181818181,14,8,5,3
淡紅,primary,tip_middle_root_1_2_2,CNN,3,177,22,155,31,12,19,0.7096774193548387,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.6557017543859649,17,2,7,5
淡紅,primary,tip_middle_root_1_2_2,CNN,4,179,27,152,32,16,16,0.59375,0.6,0.5625,0.5806451612903226,0.59375,10,6,7,9
淡紅,primary,tip_middle_root_1_2_2,CNN,5,183,24,159,37,13,24,0.6216216216216216,0.45454545454545453,0.38461538461538464,0.4166666666666667,0.5673076923076923,18,6,8,5
淡紅,primary,tip_middle_root_1_3_1,CNN,1,186,29,157,43,19,24,0.5581395348837209,0.0,0.0,0.0,0.5,24,0,19,0
淡紅,primary,tip_middle_root_1_3_1,CNN,2,175,18,157,30,8,22,0.6,0.25,0.25,0.25,0.48863636363636365,16,6,6,2
淡紅,primary,tip_middle_root_1_3_1,CNN,3,177,22,155,31,12,19,0.6774193548387096,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,19,0,10,2
淡紅,primary,tip_middle_root_1_3_1,CNN,4,179,27,152,32,16,16,0.53125,0.6,0.1875,0.2857142857142857,0.53125,14,2,13,3
淡紅,primary,tip_middle_root_1_3_1,CNN,5,183,24,159,37,13,24,0.5675675675675675,0.2,0.07692307692307693,0.1111111111111111,0.4551282051282052,20,4,12,1
鮮紅,primary,tip_middle_root_1_2_2,CNN,1,149,25,124,40,14,26,0.65,0.5,0.7857142857142857,0.6111111111111112,0.6813186813186813,15,11,3,11
鮮紅,primary,tip_middle_root_1_2_2,CNN,2,133,25,108,26,15,11,0.6153846153846154,0.6,1.0,0.75,0.5454545454545454,1,10,0,15
鮮紅,primary,tip_middle_root_1_2_2,CNN,3,137,25,112,29,13,16,0.5172413793103449,0.4782608695652174,0.8461538461538461,0.6111111111111112,0.5480769230769231,4,12,2,11
鮮紅,primary,tip_middle_root_1_2_2,CNN,4,147,26,121,38,15,23,0.6052631578947368,0.5,0.7333333333333333,0.5945945945945946,0.6275362318840579,12,11,4,11
鮮紅,primary,tip_middle_root_1_2_2,CNN,5,146,27,119,37,15,22,0.5675675675675675,0.47058823529411764,0.5333333333333333,0.5,0.5621212121212121,13,9,7,8
鮮紅,primary,tip_middle_root_1_3_1,CNN,1,149,25,124,40,14,26,0.725,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.7225274725274725,19,7,4,10
鮮紅,primary,tip_middle_root_1_3_1,CNN,2,133,25,108,26,15,11,0.5769230769230769,0.625,0.6666666666666666,0.6451612903225806,0.5606060606060606,5,6,5,10
鮮紅,primary,tip_middle_root_1_3_1,CNN,3,137,25,112,29,13,16,0.5172413793103449,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.5264423076923077,7,9,5,8
鮮紅,primary,tip_middle_root_1_3_1,CNN,4,147,26,121,38,15,23,0.631578947368421,0.5217391304347826,0.8,0.631578947368421,0.6608695652173913,12,11,3,12
鮮紅,primary,tip_middle_root_1_3_1,CNN,5,146,27,119,37,15,22,0.5405405405405406,0.45454545454545453,0.6666666666666666,0.5405405405405406,0.5606060606060606,10,12,5,10
